rank,song,artist,year
32,What A Man Gotta Do,Jonas Brothers,2020
33,Say So,Doja Cat Featuring Nicki Minaj,2020
34,Kinfolks,Sam Hunt,2020
35,Senorita,Shawn Mendes & Camila Cabello,2020
36,Bad Guy,Billie Eilish,2020
37,Godzilla,Eminem Featuring Juice WRLD,2020
38,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,2020
39,Homesick,Kane Brown,2020
40,HIGHEST IN THE ROOM,Travis Scott,2020
41,Trampoline,SHAED,2020
42,One Man Band,Old Dominion,2020
43,Sucker,Jonas Brothers,2020
44,I Don't Care,Ed Sheeran & Justin Bieber,2020
45,I Hope,Gabby Barrett Featuring Charlie Puth,2020
46,Sum 2 Prove,Lil Baby,2020
47,Red Eye,YoungBoy Never Broke Again,2020
48,Only Human,Jonas Brothers,2020
49,Make Me Want To,Jimmie Allen,2020
50,Numbers,"A Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track",2020
51,Blueberry Faygo,Lil Mosey,2020
52,Slide,H.E.R. Featuring YG,2020
53,Tusa,Karol G & Nicki Minaj,2020
54,No Time To Die,Billie Eilish,2020
55,Juicy,Doja Cat & Tyga,2020
56,BEST ON EARTH,Russ & BIA,2020
57,Heart On Ice,Rod Wave,2020
58,Fine By Time,YoungBoy Never Broke Again,2020
59,Bad Bad,YoungBoy Never Broke Again,2020
60,Knocked Off,YoungBoy Never Broke Again,2020
61,To Die For,Sam Smith,2020
62,We Back,Jason Aldean,2020
63,Go Stupid,Polo G Featuring NLE Choppa & Stunna 4 Vegas,2020
64,What She Wants Tonight,Luke Bryan,2020
65,Nobody But You,Blake Shelton Duet With Gwen Stefani,2020
66,Suicidal,YNW Melly & Juice WRLD,2020
67,Chasin' You,Morgan Wallen,2020
68,I Wish Grandpas Never Died,Riley Green,2020
69,Out West,JACKBOYS Featuring Young Thug,2020
70,More Hearts Than Mine,Ingrid Andress,2020
71,Moral Of The Story,Ashe Featuring Niall Horan,2020
72,Homemade,Jake Owen,2020
73,Slow Dance In A Parking Lot,Jordan Davis,2020
74,Forever,Justin Bieber Featuring Post Malone & Clever,2020
75,I Hope You're Happy Now,Carly Pearce & Lee Brice,2020
76,Know Your Worth,Khalid x Disclosure,2020
77,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020
78,Dive Bar,Garth Brooks & Blake Shelton,2020
79,Make No Sense,YoungBoy Never Broke Again,2020
80,RIP Lil Phat,YoungBoy Never Broke Again,2020
81,Catch,Brett Young,2020
82,Before You Go,Lewis Capaldi,2020
83,TOES,DaBaby Featuring Lil Baby & Moneybagg Yo,2020
84,My Time,BTS,2020
85,Long RD,YoungBoy Never Broke Again,2020
86,South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,2020
87,Filter,BTS,2020
88,P*$$y Fairy (OTW),Jhene Aiko,2020
89,Bat Man,YoungBoy Never Broke Again,2020
90,homecoming queen?,Kelsea Ballerini,2020
91,Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,2020
92,The Man,Taylor Swift,2020
93,Shake The Room,Pop Smoke Featuring Quavo,2020
94,Rare,Selena Gomez,2020
95,Come Thru,Summer Walker & Usher,2020
96,Ridin' Roads,Dustin Lynch,2020
97,Me And My Guitar,A Boogie Wit da Hoodie,2020
98,Feel Me,Selena Gomez,2020
99,Vete,Bad Bunny,2020
100,SUGAR,BrockHampton,2020
1,Shallow,Lady Gaga & Bradley Cooper,2019
2,7 Rings,Ariana Grande,2019
3,Without Me,Halsey,2019
4,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2019
5,Middle Child,J. Cole,2019
6,Happier,Marshmello & Bastille,2019
7,"Thank U, Next",Ariana Grande,2019
8,Wow.,Post Malone,2019
9,Thotiana,Blueface,2019
10,Sicko Mode,Travis Scott,2019
11,High Hopes,Panic! At The Disco,2019
12,Eastside,"benny blanco, Halsey & Khalid",2019
13,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2019
14,Please Me,Cardi B & Bruno Mars,2019
15,Murder On My Mind,YNW Melly,2019
16,Going Bad,Meek Mill Featuring Drake,2019
17,Girls Like You,Maroon 5 Featuring Cardi B,2019
18,A Lot,21 Savage,2019
19,Drip Too Hard,Lil Baby & Gunna,2019
20,Money,Cardi B,2019
21,Better,Khalid,2019
22,Dancing With A Stranger,Sam Smith & Normani,2019
23,Beautiful Crazy,Luke Combs,2019
24,Sweet But Psycho,Ava Max,2019
25,ZEZE,Kodak Black Featuring Travis Scott & Offset,2019
26,MIA,Bad Bunny Featuring Drake,2019
27,Better Now,Post Malone,2019
28,Robbery,Juice WRLD,2019
29,Be Alright,Dean Lewis,2019
30,You Say,Lauren Daigle,2019
31,Youngblood,5 Seconds Of Summer,2019
32,Tequila,Dan + Shay,2019
33,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,2019
34,Baby Shark,Pinkfong,2019
35,Look Back At It,A Boogie Wit da Hoodie,2019
36,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,2019
37,Leave Me Alone,Flipp Dinero,2019
38,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2019
39,I Like It,"Cardi B, Bad Bunny & J Balvin",2019
40,Lucid Dreams,Juice WRLD,2019
41,Bury A Friend,Billie Eilish,2019
42,Envy Me,Calboy,2019
43,Mo Bamba,Sheck Wes,2019
44,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,2019
45,Twerk,City Girls Featuring Cardi B,2019
46,Take It From Me,Jordan Davis,2019
47,Always Remember Us This Way,Lady Gaga,2019
48,Backin' It Up,Pardison Fontaine Featuring Cardi B,2019
49,Legacy,Offset Featuring Travis Scott & 21 Savage,2019
50,Red Room,Offset,2019
51,This Is It,Scotty McCreery,2019
52,Pure Water,Mustard & Migos,2019
53,Close Friends,Lil Baby,2019
54,Walk Me Home,P!nk,2019
55,Talk,Khalid,2019
56,Mixed Personalities,YNW Melly Featuring Kanye West,2019
57,Millionaire,Chris Stapleton,2019
58,Girl Like You,Jason Aldean,2019
59,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,2019
60,Needy,Ariana Grande,2019
61,What Makes You Country,Luke Bryan,2019
62,I'll Never Love Again,Lady Gaga,2019
63,Undecided,Chris Brown,2019
64,Clout,Offset Featuring Cardi B,2019
65,How Did I Get Here,Offset Featuring J. Cole,2019
66,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,2019
67,Nights Like This,Kehlani Featuring Ty Dolla $ign,2019
68,NASA,Ariana Grande,2019
69,Burn Out,Midland,2019
70,Outstanding,Gunna,2019
71,Here Tonight,Brett Young,2019
72,Be Like Me,Lil Pump Featuring Lil Wayne,2019
73,Worth It,YK Osiris,2019
74,3 Headed Snake,Gunna Featuring Young Thug,2019
75,Wit It,Gunna,2019
76,Ella Quiere Beber,Anuel AA & Romeo Santos,2019
77,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,2019
78,One Call,Gunna,2019
79,Armed And Dangerous,Juice WRLD,2019
80,Down To The Honkytonk,Jake Owen,2019
81,Shot Clock,Ella Mai,2019
82,Miss Me More,Kelsea Ballerini,2019
83,Calling My Spirit,Kodak Black,2019
84,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,2019
85,Imagine,Ariana Grande,2019
86,Lick,Offset,2019
87,Girls Need Love,Summer Walker X Drake,2019
88,Eyes On You,Chase Rice,2019
89,Love Someone,Lukas Graham,2019
90,Bad Idea,Ariana Grande,2019
91,Speed It Up,Gunna,2019
92,Secreto,Anuel AA & Karol G,2019
93,Bloodline,Ariana Grande,2019
94,I Guess I Just Feel Like,John Mayer,2019
95,Good As You,Kane Brown,2019
96,Put A Date On It,Yo Gotti Featuring Lil Baby,2019
97,Same Yung N***a,Gunna Featuring Playboi Carti,2019
98,Talk You Out Of It,Florida Georgia Line,2019
99,Make It Sweet,Old Dominion,2019
100,Faucet Failure,Ski Mask The Slump God,2019
1,God's Plan,Drake,2018
2,Psycho,Post Malone Featuring Ty Dolla $ign,2018
3,Perfect,Ed Sheeran,2018
4,Finesse,Bruno Mars & Cardi B,2018
5,Havana,Camila Cabello Featuring Young Thug,2018
6,Look Alive,BlocBoy JB Featuring Drake,2018
7,Meant To Be,Bebe Rexha & Florida Georgia Line,2018
8,Rockstar,Post Malone Featuring 21 Savage,2018
9,Pray For Me,The Weeknd & Kendrick Lamar,2018
10,All The Stars,Kendrick Lamar & SZA,2018
11,The Middle,"Zedd, Maren Morris & Grey",2018
12,Stir Fry,Migos,2018
13,Let You Down,NF,2018
14,New Rules,Dua Lipa,2018
15,Him & I,G-Eazy & Halsey,2018
16,Gummo,6ix9ine,2018
17,Thunder,Imagine Dragons,2018
18,I Fall Apart,Post Malone,2018
19,Love.,Kendrick Lamar Featuring Zacari,2018
20,Mine,Bazzi,2018
21,Bad At Love,Halsey,2018
22,44 More,Logic,2018
23,Lights Down Low,MAX Featuring gnash,2018
24,Never Be The Same,Camila Cabello,2018
25,Wolves,Selena Gomez X Marshmello,2018
26,Bartier Cardi,Cardi B Featuring 21 Savage,2018
27,How Long,Charlie Puth,2018
28,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",2018
29,Say Something,Justin Timberlake Featuring Chris Stapleton,2018
30,MotorSport,"Migos, Nicki Minaj & Cardi B",2018
31,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,2018
32,Feel It Still,Portugal. The Man,2018
33,Young Dumb & Broke,Khalid,2018
34,Marry Me,Thomas Rhett,2018
35,Outside Today,YoungBoy Never Broke Again,2018
36,Ric Flair Drip,Offset & Metro Boomin,2018
37,Sky Walker,Miguel Featuring Travis Scott,2018
38,You Make It Easy,Jason Aldean,2018
39,Wait,Maroon 5,2018
40,Bodak Yellow (Money Moves),Cardi B,2018
41,Plain Jane,A$AP Ferg Featuring Nicki Minaj,2018
42,New Freezer,Rich The Kid Featuring Kendrick Lamar,2018
43,Whatever It Takes,Imagine Dragons,2018
44,Heaven,Kane Brown,2018
45,Sorry Not Sorry,Demi Lovato,2018
46,River,Eminem Featuring Ed Sheeran,2018
47,Five More Minutes,Scotty McCreery,2018
48,Good Old Days,Macklemore Featuring Kesha,2018
49,Broken Halos,Chris Stapleton,2018
50,Dura,Daddy Yankee,2018
51,Lemon,N*E*R*D & Rihanna,2018
52,El Farsante,Ozuna & Romeo Santos,2018
53,Walk It Talk It,Migos Featuring Drake,2018
54,Pick It Up,Famous Dex Featuring A$AP Rocky,2018
55,Plug Walk,Rich The Kid,2018
56,Friends,Marshmello & Anne-Marie,2018
57,Most People Are Good,Luke Bryan,2018
58,Love Lies,Khalid & Normani,2018
59,Written In The Sand,Old Dominion,2018
60,Billy,6ix9ine,2018
61,Want You Back,5 Seconds Of Summer,2018
62,Nowadays,Lil Skies Featuring Landon Cube,2018
63,KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",2018
64,X,"ScHoolboy Q, 2 Chainz & Saudi",2018
65,Narcos,Migos,2018
66,Betrayed,Lil Xan,2018
67,Hardaway,Derez De'Shon,2018
68,Singles You Up,Jordan Davis,2018
69,All On Me,Devin Dawson,2018
70,No Smoke,YoungBoy Never Broke Again,2018
71,Candy Paint,Post Malone,2018
72,Yours,Russell Dickerson,2018
73,RONDO,6ix9ine Featuring Tory Lanez & Young Thug,2018
74,You Broke Up With Me,Walker Hayes,2018
75,The Long Way,Brett Eldredge,2018
76,Paramedic!,SOB X RBE,2018
77,Red Roses,Lil Skies Featuring Landon Cube,2018
78,IDGAF,Dua Lipa,2018
79,Echame La Culpa,Luis Fonsi & Demi Lovato,2018
80,La Modelo,Ozuna x Cardi B,2018
81,Booty,Blac Youngsta,2018
82,Dark Knight Dummo,Trippie Redd Featuring Travis Scott,2018
83,Beautiful Trauma,P!nk,2018
84,Tell Me You Love Me,Demi Lovato,2018
85,Rubbin Off The Paint,YBN Nahmir,2018
86,At The Club,Jacquees X Dej Loaf,2018
87,This Is Me,Keala Settle & The Greatest Showman Ensemble,2018
88,I Like Me Better,Lauv,2018
89,Kooda,6ix9ine,2018
90,The Ways,Khalid & Swae Lee,2018
91,When We,Tank,2018
92,Notice Me,Migos Featuring Post Malone,2018
93,Corazon,Maluma X Nego do Borel,2018
94,Get You,Daniel Caesar Featuring Kali Uchis,2018
95,Codeine Dreaming,Kodak Black Featuring Lil Wayne,2018
96,She's With Me,High Valley,2018
97,Mayores,Becky G Featuring Bad Bunny,2018
98,Break Up In The End,Cole Swindell,2018
99,Make Me Feel,Janelle Monae,2018
100,Rock,Plies,2018
1,Shape Of You,Ed Sheeran,2017
2,Bad And Boujee,Migos Featuring Lil Uzi Vert,2017
3,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,2017
4,That's What I Like,Bruno Mars,2017
5,Closer,The Chainsmokers Featuring Halsey,2017
6,Paris,The Chainsmokers,2017
7,Love On The Brain,Rihanna,2017
8,Chained To The Rhythm,Katy Perry Featuring Skip Marley,2017
9,Bounce Back,Big Sean,2017
10,Bad Things,Machine Gun Kelly x Camila Cabello,2017
11,I Feel It Coming,The Weeknd Featuring Daft Punk,2017
12,It Ain't Me,Kygo x Selena Gomez,2017
13,Fake Love,Drake,2017
14,Scars To Your Beautiful,Alessia Cara,2017
15,24K Magic,Bruno Mars,2017
16,Black Beatles,Rae Sremmurd Featuring Gucci Mane,2017
17,Starboy,The Weeknd Featuring Daft Punk,2017
18,Mercy,Shawn Mendes,2017
19,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,2017
20,iSpy,KYLE Featuring Lil Yachty,2017
21,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,2017
22,Body Like A Back Road,Sam Hunt,2017
23,Cold,Maroon 5 Featuring Future,2017
24,Caroline,Amine,2017
25,Down,Marian Hill,2017
26,All Time Low,Jon Bellion,2017
27,Tunnel Vision,Kodak Black,2017
28,Say You Won't Let Go,James Arthur,2017
29,Can't Stop The Feeling!,Justin Timberlake,2017
30,Million Reasons,Lady Gaga,2017
31,Let Me Love You,DJ Snake Featuring Justin Bieber,2017
32,T-Shirt,Migos,2017
33,Issues,Julia Michaels,2017
34,Side To Side,Ariana Grande Featuring Nicki Minaj,2017
35,Swang,Rae Sremmurd,2017
36,Congratulations,Post Malone Featuring Quavo,2017
37,Water Under The Bridge,Adele,2017
38,Heathens,twenty one pilots,2017
39,Better Man,Little Big Town,2017
40,Treat You Better,Shawn Mendes,2017
41,How Would You Feel (Paean),Ed Sheeran,2017
42,Dirt On My Boots,Jon Pardi,2017
43,I Got You,Bebe Rexha,2017
44,Love,Lana Del Rey,2017
45,Party,Chris Brown Featuring Usher & Gucci Mane,2017
46,Draco,Future,2017
47,Broccoli,D.R.A.M. Featuring Lil Yachty,2017
48,This Town,Niall Horan,2017
49,Mask Off,Future,2017
50,Both,Gucci Mane Featuring Drake,2017
51,Location,Khalid,2017
52,Heavy,Linkin Park Featuring Kiiara,2017
53,Make Me (Cry),Noah Cyrus Featuring Labrinth,2017
54,Rent Money,Future,2017
55,Deja Vu,J. Cole,2017
56,Something Just Like This,The Chainsmokers & Coldplay,2017
57,Shining,DJ Khaled Featuring Beyonce & JAY Z,2017
58,Think A Little Less,Michael Ray,2017
59,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017
60,Play That Song,Train,2017
61,Sober Saturday Night,Chris Young Featuring Vince Gill,2017
62,Goosebumps,Travis Scott,2017
63,Moves,Big Sean,2017
64,Party Monster,The Weeknd,2017
65,Believer,Imagine Dragons,2017
66,Castle On The Hill,Ed Sheeran,2017
67,Used To This,Future Featuring Drake,2017
68,Rolex,Ayo & Teo,2017
69,Love Me Now,John Legend,2017
70,Look At Me!,XXXTENTACION,2017
71,Today,Brad Paisley,2017
72,Call On Me,Starley,2017
73,Any Ol' Barstool,Jason Aldean,2017
74,Kill A Word,Eric Church Featuring Rhiannon Giddens,2017
75,Star Of The Show,Thomas Rhett,2017
76,Fast,Luke Bryan,2017
77,Reminder,The Weeknd,2017
78,Everyday,Ariana Grande Featuring Future,2017
79,A Guy With A Girl,Blake Shelton,2017
80,Chantaje,Shakira Featuring Maluma,2017
81,The Weekend,Brantley Gilbert,2017
82,Hurricane,Luke Combs,2017
83,Guys My Age,Hey Violet,2017
84,Seein' Red,Dustin Lynch,2017
85,No Heart,21 Savage & Metro Boomin,2017
86,The Fighter,Keith Urban Featuring Carrie Underwood,2017
87,Road Less Traveled,Lauren Alaina,2017
88,Not Nice,PARTYNEXTDOOR,2017
89,Slippery,Migos Featuring Gucci Mane,2017
90,Selfish,PnB Rock,2017
91,Super Trapper,Future,2017
92,In Case You Didn't Know,Brett Young,2017
93,Dancing On My Own,Calum Scott,2017
94,How Far I'll Go,Alessia Cara,2017
95,Black,Dierks Bentley,2017
96,Cash Me Outside (#CashMeOutside),DJ Suede The Remix God,2017
97,No Favors,Big Sean Featuring Eminem,2017
98,El Amante,Nicky Jam,2017
99,Zoom,Future,2017
